Student Tag,Enrollment Term,Subject,Entry Teacher Tag,Exit Teacher Tag,Q1 (Before),Q1 (After),Q1 (Change),Q2 (Before),Q2 (After),Q2 (Change),Q3 (Before),Q3 (After),Q3 (Change),Q4 (Before),Q4 (After),Q4 (Change),Q5 (Before),Q5 (After),Q5 (Change),Q6 (Before),Q6 (After),Q6( Change),Q7 (Before),Q7 (After),Q7 (Change),Q8 (Before),Q8 (After),Q8 (Change),Q9 (Before),Q9 (After),Q9 (Change),Q10 (Before),Q10 (After),Q10 (Change),Q11 (Before),Q11 (After),Q11 (Change),Q12 (Before),Q12 (After),Q12 (Change),Q13 (Before),Q13 (After),Q13 (Change),Q14 (Before),Q14 (After),Q14 (Change),Q15 (Before),Q15 (After),Q15 (Change),Q16 (Before),Q16 (After),Q16 (Change),Q17 (Before),Q17 (After),Q17 (Change),Q18 (Assigned Text Read Completely),Q19 (Chinese Translation),Q20 (Time/RJ),Q21 (Time/reading),Q22 (% Lecture),Q23 (% tutorial participation),Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Sex,"Phy (1: normal, 2:mainland)","Chem(1: normal, 2:mainland)","Bio(1: normal, 2:mainland)",Com Sci,Inter Sci,Eng Lit,Chin Lit,"History(1: normal, 2:mainland)",Chin History,Ethics & RS,Music,Visual Art,Econ,"Geog(1: normal, 2:mainland)",Politics_Mainland,Language,English Proficiency,Year of Study,Faculty,Term GPA,Grade,cGPA (After),cGPA (Before),First GEF?,"ScienceSubject (Phy,Chem,Bio,InterSci,CombSci)","HumanitiesSub (ChinHist, Hist, ChinLit, EngLit, RS, Politics)",Micro-modules,Micro-modules_No_a,Micro-modules_No_b,Micro-modules_No_c,Micro-modules_No_d,Micro-modules_No_e,Micro-modules_No_f,Micro-modules_No_g
15,1617T1,UNFN,2,2,5,4,-1,5,5,0,4,3,-1,4,3,-1,4,2,-2,3,3,0,4,3,-1,3,3,0,2,3,1,2,3,1,2,2,0,3,2,-1,3,3,0,5,5,0,4,5,1,4,5,1,5,4,-1,4 to 5,0 to 1,3 to <6,1 to <2,81-100%,81-100%,3,4,4,4,4,4,4,4,4,4,4,4,F,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK,1,,Cantonese,DSE 5 or above,2,ART,3.08,B-,3.05,3.03,No,0,0,0,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK
17,1617T1,UNFN,2,2,3,4,1,5,4,-1,4,3,-1,4,3,-1,2,1,-1,4,4,0,4,3,-1,2,1,-1,4,2,-2,3,3,0,6,3,-3,4,1,-3,4,1,-3,4,1,-3,4,1,-3,3,1,-2,6,5,-1,4 to 5,6 to 7,more than 15,4 to <5,41-60%,81-100%,1,4,5,3,4,3,2,2,3,3,4,1,M,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Cantonese,Others,2,BAF,3.26,B+,3.46,3.55,No,2,0,0,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
20,1617T1,UNFN,10,10,3,4,1,5,4,-1,2,2,0,2,2,0,3,2,-1,4,2,-2,4,3,-1,4,2,-2,3,3,0,3,2,-1,3,2,-1,3,2,-1,2,3,1,4,3,-1,3,2,-1,5,2,-3,5,3,-2,6 to 7,2 to 3,6 to <10,2 to <3,81-100%,81-100%,3,3,3,3,3,3,3,3,3,3,3,3,F,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Cantonese,Others,2,SCF,2.12,C+,2.56,2.77,No,2,0,0,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
21,1617T1,UNFN,12,12,4,5,1,5,5,0,4,4,0,4,5,1,4,5,1,4,4,0,4,4,0,4,4,0,4,5,1,5,5,0,4,5,1,5,4,-1,4,4,0,4,5,1,4,4,0,4,5,1,5,5,0,8 to 9,0 to 1,6 to <10,1 to <2,41-60%,81-100%,4,3,4,3,5,3,4,4,4,4,4,3,M,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK,BLANK,BLANK,1,1,,Putonghua,Others,2,BASSF,3.14,A-,3.28,3.35,No,0,1,0,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK
22,1617T1,UNFN,12,12,5,6,1,6,6,0,5,5,0,4,5,1,5,6,1,6,6,0,6,6,0,6,6,0,6,6,0,6,6,0,6,6,0,4,6,2,4,6,2,6,6,0,6,6,0,6,6,0,6,6,0,10 to 11,0 to 1,10 to <15,1 to <2,61-80%,81-100%,3,5,5,4,5,5,4,4,5,4,5,4,F,1,1,1,1,1,BLANK,1,1,1,BLANK,1,1,BLANK,1,,Putonghua,Others,2,SCF,3.11,B+,3.03,2.99,Yes,5,3,0,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
24,1617T1,UNFN,12,12,5,4,-1,5,5,0,5,4,-1,5,4,-1,5,4,-1,6,5,-1,6,5,-1,6,6,0,4,5,1,4,5,1,5,5,0,4,5,1,4,5,1,4,5,1,5,5,0,6,5,-1,5,4,-1,8 to 9,2 to 3,3 to <6,2 to <3,21-40%,81-100%,4,4,4,2,4,3,4,4,4,4,4,2,M,1,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Putonghua,Others,2,BAF,3.34,B,3.39,3.41,No,3,0,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
25,1617T1,UNFN,13,13,4,4,0,4,4,0,3,4,1,3,4,1,2,3,1,2,3,1,3,3,0,4,4,0,1,4,3,2,4,2,1,4,3,1,4,3,3,4,1,4,4,0,4,4,0,4,4,0,4,5,1,10 to 11,10 to 11,6 to <10,1 to <2,81-100%,81-100%,3,4,4,4,3,4,3,3,3,4,3,3,F,BLANK,BLANK,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,BLANK,,Cantonese,DSE 4 or below,2,MED,3.08,B+,3.25,3.34,No,2,0,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
26,1617T1,UNFN,11,11,4,5,1,6,6,0,5,4,-1,5,5,0,5,5,0,1,5,4,5,5,0,6,5,-1,1,5,4,1,5,4,1,5,4,6,5,-1,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,8 to 9,2 to 3,10 to <15,2 to <3,81-100%,81-100%,3,5,5,3,5,3,5,5,4,4,4,4,F,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK,1,BLANK,,Cantonese,DSE 4 or below,1,BAF,3.60,A,3.60,0.00,Yes,0,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
27,1617T1,UNFN,12,12,4,5,1,5,5,0,3,3,0,3,3,0,2,2,0,3,4,1,4,5,1,4,5,1,4,5,1,4,5,1,4,5,1,4,5,1,4,5,1,5,5,0,4,5,1,5,5,0,5,5,0,4 to 5,6 to 7,1 to <3,1 to <2,41-60%,81-100%,4,3,4,4,4,4,4,4,4,4,4,4,M,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Putonghua,Others,2,BASCI,2.83,B,2.85,2.86,No,0,0,0,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
30,1617T1,UNFN,2,2,4,5,1,4,6,2,4,4,0,5,4,-1,3,4,1,4,4,0,5,5,0,4,5,1,3,4,1,3,4,1,4,4,0,2,5,3,3,4,1,5,5,0,3,5,2,4,5,1,4,5,1,8 to 9,0 to 1,3 to <6,2 to <3,81-100%,81-100%,5,5,5,3,4,3,5,5,4,4,4,4,M,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Cantonese,DSE 4 or below,1,ENF,3.10,B+,3.10,0.00,Yes,1,0,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
31,1617T1,UNFN,12,12,5,4,-1,6,5,-1,5,5,0,5,6,1,6,6,0,5,6,1,5,6,1,5,5,0,4,5,1,5,5,0,4,5,1,4,5,1,4,5,1,4,5,1,4,4,0,4,5,1,4,5,1,10 to 11,2 to 3,more than 15,2 to <3,61-80%,81-100%,4,4,4,3,4,4,4,4,4,4,4,3,F,BLANK,1,1,1,BLANK,1,BLANK,BLANK,BLANK,1,1,1,1,1,,English,Others,1,MED,3.74,A,3.74,0.00,Yes,3,2,0,1,BLANK,BLANK,1,BLANK,BLANK,BLANK
33,1617T1,UNFN,7,7,5,5,0,4,5,1,4,5,1,3,4,1,4,5,1,4,4,0,4,5,1,5,6,1,4,4,0,3,5,2,3,5,2,4,4,0,4,5,1,4,4,0,6,4,-2,5,5,0,4,4,0,8 to 9,0 to 1,1 to <3,less than 1,21-40%,61-80%,3,2,3,3,3,4,3,3,4,3,3,2,M,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,BLANK,,Cantonese,Others,1,SCF,2.22,B,2.22,0.00,Yes,1,0,0,BLANK,BLANK,1,BLANK,BLANK,BLANK,BLANK
35,1617T1,UNFN,14,14,5,4,-1,4,4,0,5,4,-1,4,3,-1,5,5,0,4,5,1,6,5,-1,6,5,-1,4,5,1,4,5,1,5,4,-1,5,4,-1,5,4,-1,5,4,-1,5,4,-1,4,3,-1,4,4,0,8 to 9,0 to 1,3 to <6,3 to <4,81-100%,81-100%,4,3,4,4,2,4,3,3,4,4,4,3,M,2,2,2,,,,,BLANK,,,,,,BLANK,BLANK,Cantonese,Natioanl Exam >=140,1,SCF,3.71,A-,3.71,0.00,Yes,5,4,0,BLANK,1,BLANK,BLANK,1,BLANK,BLANK
36,1617T1,UNFN,14,14,6,5,-1,3,5,2,5,4,-1,2,5,3,2,4,2,2,5,3,6,5,-1,6,5,-1,3,5,2,2,5,3,3,5,2,4,5,1,4,6,2,6,6,0,2,5,3,4,6,2,5,6,1,10 to 11,10 to 11,6 to <10,2 to <3,81-100%,81-100%,5,5,5,5,5,5,5,5,5,5,5,5,M,BLANK,BLANK,BLANK,,,,,2,,,,,,2,1,Putonghau,Natioanl Exam >=140,1,SSF,3.28,A-,3.28,0.00,Yes,2,6,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
37,1617T1,UNFN,12,12,4,6,2,6,6,0,5,6,1,5,6,1,6,6,0,5,6,1,5,6,1,5,6,1,4,6,2,5,6,1,4,6,2,4,6,2,5,6,1,6,6,0,5,6,1,6,6,0,5,6,1,10 to 11,0 to 1,3 to <6,1 to <2,61-80%,81-100%,4,5,5,4,5,5,5,5,5,5,5,5,F,BLANK,1,1,BLANK,BLANK,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,English,Others,1,MED,3.13,A,3.13,0.00,Yes,2,1,0,1,BLANK,BLANK,BLANK,BLANK,1,BLANK
38,1617T1,UNFN,13,13,4,4,0,4,4,0,4,4,0,3,3,0,4,5,1,4,5,1,4,5,1,4,5,1,3,5,2,4,5,1,4,4,0,4,4,0,3,4,1,4,4,0,4,4,0,3,4,1,4,5,1,6 to 7,2 to 3,10 to <15,2 to <3,61-80%,81-100%,4,4,4,3,4,5,3,4,4,4,4,3,F,BLANK,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Cantonese,DSE 4 or below,1,MED,3.31,B+,3.31,0.00,Yes,2,0,1,BLANK,BLANK,1,BLANK,BLANK,BLANK,BLANK
40,1617T1,UNFN,1,14,5,5,0,5,5,0,4,5,1,4,4,0,4,3,-1,5,4,-1,6,6,0,5,5,0,4,5,1,5,5,0,4,4,0,5,5,0,4,3,-1,5,5,0,5,5,0,5,4,-1,5,5,0,10 to 11,10 to 11,6 to <10,more than 5,81-100%,81-100%,3,4,4,3,4,4,4,4,4,4,4,3,M,1,1,1,BLANK,BLANK,1,1,BLANK,1,BLANK,1,1,BLANK,1,,Putonghua,BLANK,1,MED,3.41,A-,3.41,0.00,Yes,3,3,0,BLANK,BLANK,BLANK,1,BLANK,BLANK,BLANK
41,1617T1,UNFN,13,13,4,4,0,4,5,1,5,5,0,6,5,-1,5,4,-1,5,4,-1,5,4,-1,5,4,-1,4,5,1,4,5,1,4,5,1,4,5,1,4,5,1,4,5,1,4,"(4,5)",#VALUE!,4,5,1,6,6,0,10 to 11,0 to 1,3 to <6,1 to <2,81-100%,81-100%,4,4,4,2,4,3,3,4,4,4,4,2,F,BLANK,BLANK,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Cantonese,DSE 4 or below,1,MED,3.05,B,3.05,0.00,Yes,1,0,0,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK
45,1617T1,UNFN,14,14,5,5,0,5,6,1,6,5,-1,MULT,6,#VALUE!,4,5,1,5,5,0,5,5,0,4,6,2,3,5,2,4,6,2,4,5,1,5,5,0,4,5,1,5,6,1,6,6,0,5,6,1,6,6,0,10 to 11,6 to 7,3 to <6,3 to <4,81-100%,81-100%,4,5,5,4,5,4,5,5,4,5,4,4,M,BLANK,BLANK,BLANK,,,,,2,,,,,,2,1,Putonghau,Natioanl Exam <=139,1,SSF,3.51,A-,3.51,0.00,Yes,2,6,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
46,1617T1,UNFN,12,12,4,5,1,3,5,2,5,5,0,4,4,0,6,6,0,5,5,0,6,5,-1,5,5,0,3,5,2,3,5,2,4,5,1,4,4,0,3,4,1,4,5,1,4,4,0,5,5,0,5,5,0,6 to 7,0 to 1,3 to <6,less than 1,41-60%,41-60%,3,5,4,3,4,4,4,4,4,5,4,3,F,1,1,1,BLANK,BLANK,1,BLANK,1,BLANK,1,1,1,BLANK,BLANK,,Cantonese,DSE 5 or above,1,MED,3.31,A-,3.31,0.00,Yes,3,3,0,BLANK,1,BLANK,BLANK,1,BLANK,BLANK
47,1617T1,UNFN,12,12,4,4,0,6,6,0,3,4,1,3,2,-1,2,3,1,4,4,0,5,4,-1,6,5,-1,2,4,2,2,4,2,5,4,-1,4,4,0,2,4,2,6,6,0,4,6,2,4,6,2,6,6,0,6 to 7,6 to 7,6 to <10,3 to <4,81-100%,61-80%,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,F,1,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Putonghua,Others,1,MED,3.21,A,3.21,0.00,Yes,3,0,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
48,1617T1,UNFN,14,14,5,5,0,6,6,0,6,5,-1,2,3,1,5,6,1,5,6,1,5,6,1,6,6,0,5,6,1,4,6,2,4,6,2,5,6,1,5,5,0,5,5,0,6,4,-2,6,5,-1,6,6,0,10 to 11,6 to 7,more than 15,more than 5,81-100%,81-100%,4,4,2,5,1,5,3,3,4,4,4,4,M,BLANK,BLANK,BLANK,,,,,2,,,,,,2,1,Putonghau,Natioanl Exam >=140,1,BAF,3.74,A,3.74,0.00,Yes,2,6,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
49,1617T1,UNFN,12,12,4,4,0,5,5,0,3,4,1,3,4,1,3,3,0,4,4,0,4,5,1,4,5,1,4,4,0,3,4,1,4,5,1,3,5,2,4,5,1,5,5,0,4,4,0,4,5,1,5,5,0,10 to 11,6 to 7,6 to <10,3 to <4,81-100%,81-100%,4,4,4,3,4,4,3,4,4,5,4,4,M,1,1,BLANK,BLANK,BLANK,1,1,1,1,BLANK,1,1,BLANK,1,,Putonghua,Others,2,ENSCF,3.04,B+,2.96,2.92,No,2,4,0,1,1,BLANK,BLANK,1,BLANK,BLANK
50,1617T1,UNFN,7,7,4,5,1,5,5,0,5,4,-1,5,4,-1,4,3,-1,5,4,-1,4,5,1,5,6,1,4,5,1,4,5,1,4,5,1,4,5,1,4,4,0,4,4,0,4,5,1,5,4,-1,5,5,0,0 to 1,0 to 1,6 to <10,1 to <2,1-20%,81-100%,3,4,4,2,4,2,4,4,4,4,4,1,M,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Cantonese,Others,1,ENF,2.14,B-,2.14,0.00,Yes,0,0,0,1,BLANK,BLANK,BLANK,1,BLANK,BLANK
51,1617T1,UNFN,12,12,3,5,2,3,6,3,3,5,2,BLANK,4,#VALUE!,3,5,2,3,4,1,3,5,2,3,5,2,3,5,2,3,5,2,3,4,1,3,5,2,5,5,0,5,5,0,4,6,2,3,6,3,4,6,2,8 to 9,BLANK,6 to <10,2 to <3,81-100%,81-100%,4,4,4,4,4,5,5,4,4,4,4,5,M,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Others,Others,1,ENF,3.33,B,3.33,0.00,Yes,2,0,0,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK
54,1617T1,UNFN,12,12,5,6,1,6,6,0,4,5,1,4,5,1,5,5,0,5,5,0,6,6,0,6,6,0,4,5,1,5,5,0,4,5,1,4,5,1,4,5,1,4,5,1,4,5,1,4,5,1,5,6,1,10 to 11,0 to 1,3 to <6,2 to <3,81-100%,81-100%,4,4,4,3,4,4,4,4,4,5,5,5,M,1,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Putonghua,Others,1,ENF,3.74,B+,3.74,0.00,Yes,3,0,BLANK,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK
55,1617T1,UNFN,1,1,5,5,0,6,5,-1,5,4,-1,5,5,0,5,5,0,3,5,2,3,5,2,4,5,1,3,5,2,3,5,2,4,5,1,4,5,1,4,5,1,5,5,0,5,5,0,6,5,-1,5,4,-1,8 to 9,0 to 1,3 to <6,1 to <2,61-80%,81-100%,4,4,4,4,4,4,4,4,4,4,4,4,F,BLANK,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,1,,Cantonese,BLANK,1,BAF,3.57,A,3.57,0.00,Yes,0,1,0,1,BLANK,BLANK,BLANK,1,BLANK,BLANK
57,1617T1,UNFN,13,13,4,5,1,6,5,-1,4,2,-2,4,2,-2,3,4,1,4,4,0,4,4,0,5,4,-1,3,5,2,4,4,0,4,5,1,4,5,1,4,4,0,5,6,1,BLANK,5,#VALUE!,4,6,2,6,6,0,6 to 7,0 to 1,less than 1,1 to <2,81-100%,81-100%,3,2,4,4,2,4,1,1,3,4,4,4,F,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,,Cantonese,DSE 4 or below,1,EDU,3.22,B,3.22,0.00,Yes,1,0,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
